id,firstname,surname,year,category,affiliation,city,country,born_date,died_date,gender,born_city,born_country,born_country_code,died_city,died_country,died_country_code,overall_motivation,share,motivation,born_country_original,born_city_original,died_country_original,died_city_original,city_original,country_original
217,Linus,Pauling,1962,Peace,California Institute of Technology (Caltech),Pasadena CA,USA,1901-02-28,1994-08-19,male,Portland OR,USA,US,Big Sur CA,USA,US,NA,1,"""for his fight against the nuclear arms race between East and West""",USA,Portland OR,USA,Big Sur CA,Pasadena CA,USA
293,Emil,von Behring,1901,Medicine,Marburg University,Marburg,Germany,1854-03-15,1917-03-31,male,Lawice,Poland,PL,Marburg,Germany,DE,NA,1,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",Prussia (now Poland),Hansdorf (now Lawice),Germany,Marburg,Marburg,Germany
294,Ronald,Ross,1902,Medicine,University College,Liverpool,United Kingdom,1857-05-13,1932-09-16,male,Almora,India,IN,Putney Heath,United Kingdom,GB,NA,1,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",India,Almora,United Kingdom,Putney Heath,Liverpool,United Kingdom
295,Niels Ryberg,Finsen,1903,Medicine,Finsen Medical Light Institute,Copenhagen,Denmark,1860-12-15,1904-09-24,male,Thorshavn,Faroe Islands (Denmark),DK,Copenhagen,Denmark,DK,NA,1,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",Faroe Islands (Denmark),Thorshavn,Denmark,Copenhagen,Copenhagen,Denmark
296,Ivan,Pavlov,1904,Medicine,Military Medical Academy,St. Petersburg,Russia,1849-09-14,1936-02-27,male,Ryazan,Russia,RU,Leningrad,Russia,RU,NA,1,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",Russia,Ryazan,Russia,Leningrad,St. Petersburg,Russia
297,Robert,Koch,1905,Medicine,Institute for Infectious Diseases,Berlin,Germany,1843-12-11,1910-05-27,male,Clausthal-Zellerfeld,Germany,DE,Baden-Baden,Germany,DE,NA,1,"""for his investigations and discoveries in relation to tuberculosis""",Germany,Clausthal (now Clausthal-Zellerfeld),Germany,Baden-Baden,Berlin,Germany
298,Camillo,Golgi,1906,Medicine,Pavia University,Pavia,Italy,1843-07-07,1926-01-21,male,Corteno,Italy,IT,Pavia,Italy,IT,NA,2,"""in recognition of their work on the structure of the nervous system""",Italy,Corteno,Italy,Pavia,Pavia,Italy
299,Santiago,Ramón y Cajal,1906,Medicine,Madrid University,Madrid,Spain,1852-05-01,1934-10-17,male,Petilla de Aragón,Spain,ES,Madrid,Spain,ES,NA,2,"""in recognition of their work on the structure of the nervous system""",Spain,Petilla de Aragón,Spain,Madrid,Madrid,Spain
300,Alphonse,Laveran,1907,Medicine,Institut Pasteur,Paris,France,1845-06-18,1922-05-18,male,Paris,France,FR,Paris,France,FR,NA,1,"""in recognition of his work on the role played by protozoa in causing diseases""",France,Paris,France,Paris,Paris,France
301,Ilya,Mechnikov,1908,Medicine,Institut Pasteur,Paris,France,1845-05-15,1916-07-15,male,Kharkiv,Ukraine,UA,Paris,France,FR,NA,2,"""in recognition of their work on immunity""",Russian Empire (now Ukraine),Kharkov (now Kharkiv),France,Paris,Paris,France
